A1313.	Origin of sex-organs.
T581.2.1.	Child born to an apparently dead mother in her grave. *Bolte "Die Sage von der erweckten Scheintoten" Zs. f. Vksk. XX (1910) 353-81; H. Hauvette "La morte vivante" (Paris, 1933); Krappe "L'enfant de la morte" Lettres Romanes I (1947) 297-310.
T581.2.2.	Blind wives fall into a pool where they give birth to children. India: Thompson-Balys.
T581.2.3.	Children born in dungeon. India: Thompson-Balys.
T581.3.	Child born in tree. English: Child II 109; Indonesian, Polynesian: Dixon 234 n. 43.
T581.4.	Child born in stable. English: Child II 85-99 passim, V 221.
T581.5.	Child born during snowstorm. Irish myth: Cross.
T581.6.	Noise of battle precipitates birth. Irish myth: Cross.
T581.7.	Child born on flagstone. Loomis White Magic 20f.; Irish myth: *Cross.
T581.8.	Woman bears twins at end of footrace (with king's horses). Irish myth: *Cross.
T581.9.	Child born on beach. Irish myth: Cross; Icelandic: Örvar-Odds saga 2-5, Boberg.
T581.10.	Twins born in tent; mother abducted. Icelandic: FSS 246-48, Boberg.
T581.11.	Boy is born in a wrapping of fine cloth. Buddhist myth: Mala- lasekera II 1097.
T582.	Precautions at childbirth. *Penzer II 166ff.; *McDaniel Conception, Birth and Infancy (Miami, 1948); *H. A. Winkler Salomo und die Karina: eine orientalische Legende von der Bezwingung einer Kind- bettdämonin (Stuttgart, 1931); Irish myth: Cross.
T582.1.	Avoidance of evil spirits at childbirth. Armenian: Ananikian 88f.
D2071.1.2.	Evil Eye averted by swinging cat over child's cradle. All locks in house to be shot during childbirth. English: Child II 498.
T582.2.	
T582.3.	Knots to be untied at childbirth. Particularly knots in the wo- man's clothes. Aly Hdwb. d. Abergl. V. 19; cf. Frazer Pausanias V 45f.; English: Child I 85.
T582.4.	Knife (other sharp instrument) as childbirth precaution. Jewish: Neuman.
T583.	Accompaniments of childbirth.
C150.	Tabu connected with childbirth.
F312.	Fairy presides at child's birth. Sometimes the Norns, the Fates, etc.
F316.	Fairy lays curse on child.
F317.	Fairy predicts future greatness of (new-born) child.
F960.1.	Extraordinary nature phenomena at birth of holy person.
M311.0.	1 Heroic career prophesied for new-born child.
M356.3.	Prophecy: (new- born) child will bring evil upon land.   ## p. 407 (#411) ############################################  T. Sex 407
T583.1.	Couvade. Father goes into confinement at time of childbirth. *Encyc. Religion Ethics II 635b; *Ploss Das Kind I 125; Bouwman Revue Anthropologique XXV 49ff., Lévy-Bruhl L'âme primitive 225ff.; Hdwb. d. Abergl. V 1573; Grimm Deutsche Rechtsalterthümer I 106. Irish myth: *Cross; Latin American: Alexander Lat. Am. 37f.; Melanesia: Codrington 228ff. -
T583.1.0.1.	Husband goes into seclusion at wife's pregnancy. India: Thompson-Balys.
T583.1.0.2.	Couvade imposed on man during wife's menstruation. India: Thompson-Balys.
T583.1.1.	Pains of woman in childbirth repeated in person of the man. English: Child II 109, V 292; U.S.: Baughman.
T583.2.	Calamities at birth of hero. India: Thompson-Balys.
F960.1.2.1.	Extraordinary precipitation at birth of hero.
T583.3.	King leaves bell with his wife for her to ring so he will know when her child is born. India: *Thompson-Balys.
T584.	Parturition. Spanish Exempla: Keller.
A477.	Goddess of childbirth.
B81.6.	Mermaid has human midwife.
F372.1.	Fairies take human midwife to attend fairy woman.
F451.5.5.	Dwarfs have human woman as midwife.
V211.1.4.	Virgin suffers no birth pangs at Christ's Nativity.
T584.0.1.	Childbirth assisted by magic. (Cf.
D1501.2.	) *Kittredge Witch- craft 114, 443f. nn. 85-102; Irish myth: Cross; Icelandic: *Boberg.
T584.0.2.	Husband acts as midwife when no woman is available. Boje 125ff.
T584.0.3.	Birth of holy person painless. Loomis White Magic 16, 20; Irish myth: Cross; Jewish: Neuman.
T584.0.4.	Childbirth assisted by angel. Irish myth: Cross.
T584.0.5.	While saint's mother was giving birth to the child, she grasps a stout rod which roots and becomes a sturdy tree. Loomis White Magic 22f.
T584.0.6.	Childbirth assisted by sacred stone. Irish myth: *Cross.
T584.1.	Birth through the mother's side. *Hartland Primitive Paternity I 21; Toldo I 340; English: Child I 83, II 309ff., 373ff.; V 227ff.; Irish myth: Cross; Egyptian: Müller 390 n. 34; Persian: Carnoy 290, 331; Hindu: Keith 33; Malagasy: Sibree FLJ II 50; Haiti: Alexander Lat. Am. 29; Bakairi: ibid. 312.
A511.1.1.	Culture hero snatched from mother's side.
T517.2.	Concep- tion through mother's side.
T541.	Birth from unusual part of person's body.
T584.2.	Child removed from body of dead mother. *Schoepperle 280 n. 2; Loomis White Magic 21; Irish myth: *Cross; Icelandic: Boberg; Greek: Fox 286; India: Thompson-Balys; Japanese: Ikeda; Oceanic: *Dixon 132 n. 4; N. A. Indian: *Thompson Tales 324 n. 166i; S. A. Indian (Yuracare): Alexander Lat. Am. 314, Métraux RMLP XXXIII 144, (Karib): ibid. 147, (Tupinamba): Métraux BBAE CXLIII (3) 132.
T612.	Child born of slain mother cares for itself during infancy.
Z210.1.	Lodge-Boy and Thrown-Away as joint adventurers. Of brothers (sometimes twins taken from body of slain mother) one is abandoned and becomes wild.   ## p. 408 (#412) ############################################  408 Motif-Index of Folk-Literature
T584.2.1.	Child born of dead mother in grave. Irish myth: Cross.
T584.2.1.1.	Twins freed from dead mother's body as body rots. New Hebrides: Codrington 398.
T584.3.	Cesarean operation upon a woman at childbirth as a custom. Hatt Asiatic Influences 83f.
T584.4.	Piglings cut from bodies of sows and reared. Irish myth: *Cross.
T584.5.	Extraordinarily long labor at childbirth.
T584.5.1.	Prolonged labor: woman has childbirth pains for 100 days but is not delivered. India: Thompson-Balys.
T584.6.	After-birth (placenta) becomes a demon. India: Thompson-Balys.
T584.7.	Hero is born by splitting mother's womb. Chinese: Eberhard FFC CXX 93f.
T584.8.	Child helps mother in severing his navel string. Jewish: *Neu- man.
T585.	Precocious infant. *Toldo I 329; Loomis White Magic 23; Gaster Oldest Stories 69; Irish myth: *Cross; Icelandic: *Boberg; Greek: Fox 79 (Hercules), 92 (Hermes); India: *Thompson-Balys.
A527.1.	Culture hero precocious.
F305.3.	Offspring of fairy and mortal has long hair and beard at birth.
F611.3.2.	Hero's precocious strength.
T615.	Supernatural growth.
Z251.	Boy hero.
T585.1.	Child born full (nearly) grown. *Ranke FFC CXIV 156; Persian: Carnoy 287; Jewish: Neuman; India: *Thompson-Balys; Korean: Zong in-Sob 5 No. 2; Hawaii: Beckwith Myth 230; S. A. Indian (Aztec): Alex- ander Lat. Am. 60, (Inca): Rowe BBAE CXLIII (2) 318, (Chiriguano): Métraux RMLP XXXIII 161, 166, (Karib): ibid. 147; Africa (Ekoi): Talbot 126, (Fjort): Dennett 60 No. 12, (Zulu): *Callaway 9; Cape Ver- de Islands: Parsons MAFLS XV (1) 352.
F611.3.2.	Hero's precocious strength.
T614.	Diabolical child kills his wet-nurses.
T585.1.1.	Child stronger than mother on day of birth. Irish myth: Cross. -
T585.2.	Child speaks at birth. (Cf.
T575.1.	) *Penzer II 39 n. 2; *Liebrecht 210ff.; Günter 242 s.v. "redend"; Cowell Jātaka VI 157, 250; Chavan- nes 500 Contes I 30, 243, 427. - Irish myth: *Cross; Jewish: *Neuman; India: *Thompson-Balys; Buddhist myth: Malalasekera I 151, II 944, 1247; S. A. Indian (Toba): Métraux MAFLS XL 97; Africa: Fro- benius Atlantis II 57, IV 278, VII 148, 208, XII 125, (Benga): Nassau 184 No. 24 version 2, (Bahonga): Einstein 247, (Fang): ibid. 57, (Mkulwe): ibid. 18f.
T585.2.1.	Child two months old speaks. Irish myth: Cross.
T585.2.2.	Child speaks prematurely on first birthday. Moreno Esdras.
T585.3.	Infant born blind immediately drowns self. Irish myth: *Cross.
T585.4.	Infant saint rebukes mother's impiety. Loomis White Magic 23; Irish myth: Cross.
T585.5.	Child born with all his teeth. Irish myth: Cross.
T585.5.1.	Child born with hairy mane. Irish myth: Cross.
T585.6.	Newborn child kisses dying mother. Icelandic: Boberg.   ## p. 409 (#413) ############################################  T. Sex 409
T585.7.	Precocious hero leaves cradle to go to war. Irish myth: Cross; Icelandic: Boberg.
T585.8.	Child stands (walks) at birth. Jewish: Neuman; Buddhist myth: Malalasekera I 789, II 299.
T585.9.	Child born circumcised. Jewish: *Neuman.
T586.	Multiple births. Irish myth: *Cross; India: Thompson-Balys; Eskimo (Greenland): Rasmussen III 85, 251.
T586.1.	Many children at a birth. BP I 432; Köhler-Bolte I 467; Jewish: *Neuman; India: Thompson-Balys; Buddhist myth: Malalasekera I 420; Chinese: Eberhard FFC CXX 200f.; N. A. Indian: *Thompson Tales 310 n. 116a; S. A. Indian (Chibcha): Alexander Lat. Am. 199.
L435.2.1.	Woman with 365 children.
T586.1.1.	Four children at a birth. Haiti: Alexander Lat. Am. 30
T586.1.1.1.	Six children at a birth. Irish myth: Cross.
T586.1.2.	Seven children at a birth. *Fb “gifte” I 432; *BP I 432; Wesselski Märchen 174 No. 64; *Loomis White Magic 87; India: Thompson-Balys.
T586.1.2.1.	King and queen have seven sons, all named Maine. Irish myth: *Cross.
T586.1.2.2.	King has six (seven) sons, all named Lugaid. Irish myth: *Cross.
T586.1.3.	Nine children at a birth. Ward II 657 No. 9.
T586.1.4.	Five children at a birth for four successive years. All alive. Italian Novella: Rotunda.
T586.1.5.	Forty sons born in one day. India: Thompson-Balys.
T586.2.	Extraordinary number of children in family.
T586.2.1.	King with fifty sons (daughters). Greek: Fox 20, 30.
T586.2.2.	King with 60,000 sons. Hindu: Keith 115.
T586.3.	Multiple birth as result of relations with several men. (Cf.
T587.1.	) Irish myth: Cross; S. A. Indian (Tenetehara): Wagley- Galvão BBAE CXLIII (3) 148, (Kaigua, Tembé, Apapocuvá-guarani): Métraux RMLP XXXIII 136.
T586.3.1.	Woman ravished by three brothers bears triplets. Irish myth: *Cross.
T586.3.2.	Triplets killed by tribe at birth. Africa (Fang): Einstein 56, Trilles 182.
T586.4.	Extraordinary number of animals at birth.
T586.4.1.	Four calves to one cow at a birth. Irish myth: *Cross.
T586.5.	Extraordinarily frequent childbirth.
T586.5.1.	Woman bears child every month. India: *Thompson-Balys.
T586.5.2.	Child born each day for seven days. India: Thompson-Balys.   ## p. 410 (#414) ############################################  410 Motif-Index of Folk-Literature
T587.	Birth of twins. (Cf.
T685.	) Irish myth: Cross; India: *Thompson- Balys.
F523.	Two persons with bodies joined. Siamese twins.
S314.	Twins exposed.
T587.1.	Birth of twins an indication of unfaithfulness in wife. (Cf.
T586.3.	) *Harris Cult of the Heavenly Twins 10ff.; Krappe "Tyndare" Studi e Materiali di Storia delle Religioni XV (1939) 23-29; English: Child II 67 n., 511a, Wells 96 (Chevalere Assigne), 126 (Lai Le Freine), *Hibbard 295; Greek: Fox 79; India: Thompson-Balys.
A515.1.1.1.	Twin culture heroes sired by two fathers.
T587.2.	Twins born one with ear of other in mouth. Irish myth: Cross.
F523.	Two persons with bodies joined. Siamese twins.
T587.2.1.	Immediately after birth of twins one puts the other in his mouth: this twin's body becomes made of iron. India: Thompson- Balys.
T587.3.	Last born twin conceived first. Jewish: Neuman.
T588.	Motifs associated with the placenta. India: Thompson-Balys.
T588.1.	Spirits make child from placenta. Philippine (Tinguian): Cole 185.
T589.	Childbirth-miscellaneous motifs.
T589.1.	Co-operative birth. Each of two wives bears a half-boy. They are placed together and form a real boy. Hindu: Keith 156.
T589.2.	Boy cut in two: each half becomes a boy. N. A. Indian (Shosho- nean): Alexander N. Am. 133, (California): Gayton and Newman 92.
F525.	Person with half a body.
T589.3.	Birth trees. Spring forth as hero is born; act as life tokens, etc. (Cf.
T589.7.1.	) Type 303; Köhler-Bolte I 179; Fb "træ" III 865b; *Kittredge Arthur 171 n. 1; Irish myth: Cross.
B311.	Congenital helpful animal. Born at same time as master and (usually) by same magic means,
D857.	Magic object born with hero.
T589.4.	Birth with veil brings luck. (Cf.
T552.5.1.	) Fb. "sejrsskjorte".
T589.5.	New-born child reincarnation of recently deceased person. Fb "sjæl" III 214a; N. A. Indian: *Alexander N. Am. 281 n. 20.
E741.1.1.1.	New star for each birth. A star in the sky for each person.
T589.6.	Where children come from. Explanations given to children. Hdwb. d. Abergl. IV 1342ff.; v. Wlislocki Germania N. R. XXII 134ff.
T589.6.1.	Children brought by the stork. *Fb "barn" I 50b.
T589.6.1.1.	Newborn boy placed in the lap of bathing queen by vulture. India: Thompson-Balys.
T589.6.2.	Children brought by midwife. *Fb "barn" I 50b.
T589.6.3.	Children said to come from underworld. Kalevala-seuran Vuosikirjaa IV 243.
T589.6.4.	Children said to come from a well. Wuttke Deutsche Aber- glaube Register s.v. "Kinderbrunnen".
T589.6.5.	Children said to come from cauliflower. Hdwb. d. Abergl. IV 1348.   ## p. 411 (#415) ############################################  T. Sex 411
T589.6.6.	Children said to come from stones. Schmidt DF XXXIX 92ff.
T589.7.	Simultaneous births. Irish myth: Cross.
T589.7.1.	Simultaneous birth of (domestic) animal and child. Type 303; Irish myth: *Cross.
E765.2.	Life bound up with that of animal. Person to live as long as animal lives.
B311.	Congenital helpful animal. Born at same time as master and (usually) by same magic means.
T589.3.	Birth trees. Spring forth as hero is born; act as life tokens, etc.
T589.7.2.	Hero born in hour of Christ's Nativity. Irish myth: *Cross.
T589.8.	Woman strives to delay birth until auspicious day. Loomis White Magic 20f.; Irish myth: *Cross.
M311.0.1.	Hectic career prophesied for (new-born) child.
M311.0.2.	Pro- phecy: birth of hero at certain time (in certain place).
N127.	The auspicious day.
T589.9.	Child with several mothers. (Heimdal.) Icelandic: MacCulloch Eddic 153.
T590.	Conception and birth-miscellaneous motifs.
T591.	Barrenness or impotence induced by magic. *Kittredge Witchcraft 113, 441 n. 78; *Boje 107; Irish myth: *Cross; Icelandic: Boberg; India: *Thompson-Balys.
Q553.3.3.	Sterility as punishment for breaking saint's covenant.
T591.1.	Magic remedies for barrenness or impotence. Cf. D1347, D1925,
D2161.3.11.	) Irish myth: Cross; Jewish: *Neuman; India: *Thompson- Balys.
T591.1.1.	Magic potion as remedy for impotence. Greek: Frazer Apollo- dorus I 87 n. 3.
T591.1.2.	Milk of hornless, single-colored cow drunk by man to make wife fruitful. Irish myth: Cross.
T591.2.	Unlucky for a woman to look on the face of a childless person. India: Thompson-Balys.
T592.	Milk suddenly appears in woman's dry breast. *Cosquin Etudes 199ff., 238ff.; India: Thompson-Balys.
H175.1.	Recogni-
F1041.	Extraordinary physical reactions of persons. tion of son by gushing up of milk in mother's breasts.
H495.	Mother test.
J1142.1.	Test of mother by weighing milk.
T592.1.	Milk medicine fills woman's breasts with milk. India: Thomp- son-Balys.
T595.	Sign hung out informing brothers whether mother has borne boy or girl. *Type 451; BP I 70ff.; Italian: Basile Pentamerone IV No. 8.
N344.1.	Wrong sign put out leads to boys' leaving home. They are to be informed by a sign of a sister is born.
Z140.1.	Color of flag (sails) on ship to indicate good or bad news.
T596.	Naming of children.
T596.1.	Angel names child. Irish myth: Cross.
T596.2.	Children named by numbers (1, 2, 3, etc.). Hdwb. d. Märchens I 521a; Irish myth: Cross.
L10.1.1.	"Thirteen" is name of victorious youngest son. (Youngest of thirteen brothers.)   ## p. 412 (#416) ############################################  412 Motif-Index of Folk-Literature
T597.	Ambitions of father transferred to child at moment of conception. Irish myth: Cross. T600-
T699.	Care of children.
T600.	Care of children. **Ploss Das Kind; Fellinger Das Kind in der altfranzösischen Literatur (Göttingen, 1908); *McDaniel Conception, Birth and Infancy (Miami, 1948); Irish myth: *Cross.
B535.	Animal nurse.
C867.1.	Tabu: abusing women and children.
J1149.1.	Feigned madness unmasked by threatening man's child.
J1171.1.	Solo- mon's judgment: the divided child.
L111.2.	Foundling hero.
L111.2.1.	Future hero found in boat (basket, bushes).
P230.	Parents and children.
P270.	Foster relative.
P296.	Godparents.
R131.	Exposed or abandoned child rescued.
S123.3.	Living children buried with dead mother.
S161.1.1.	Child's finger-ends cut off to give long life.
S300.	Abandoned or murdered children.
T601.	Infant bathed in milk. Irish myth: Cross.
T602.	Weapons and horses procured for boy at his birth. Icelandic: Hervarar saga 85, Boberg.
T605.	Divine nurse. Greek: Grote I 52.
T610.	Nurture and growth of children.
B251.2.10.1.	Brilliantly white cow comes to be milked for infant saint.
C875.	Tabu: carrying child on one's back into house.
G77.	Girl child fed on infant boys' flesh to make her grow faster.
J2175.	Short- sightedness in dealing with children.
K515.	Children hidden to avoid their execution (death).
N811.	Supernatural godfather.
Q586.	Son on gallows bites his mother's (father's) nose off: punishment for neglect in youth.
R13.0.1.	Children carried off by animals.
S300.	Abandoned or murdered children.
T611.	Suckling of children.
B53.2.	Man suckled by siren.
B535.	Animal nurse.
E323.1.1.	Dead mother returns to suckle child
F611.2.	Strong hero's suckling.
T611.1.	Child nourished by sucking its own fingers. *Cosquin Études 208, 256; Toldo I 341; Babylonian: Spence 54.
F552.1.5.	Milk from fingers.
G332.1.	Ogre sucks victim's finger and drinks all his blood.
T611.1.1.	Child nourished by sucking thumb of a god. Egyptian: Müller 115; India: Thompson-Balys; Hindu: Keith 166.
T611.2.	Child miraculously suckled by his father. *BP II 296; Icelandic: Boberg.
T611.3.	Witch (fairy) suckles child. Hoffman-Krayer Zs. f. Vksk. XXV 121 n. 4; Lithuanian: Balys Index No. 3297, Legends No. 528.
